chunk_info,implementation,n_features,n_neighbors,n_samples_test,n_samples_train,throughput,time_elapsed,trial
"(256, 4)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.14713380435574333,0.27458,3.0
"(512, 2)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.1419037583421145,0.2847,3.0
"(1024, 1)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.07207078635650066,0.56056,3.0
"(2048, 1)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.07310761658312372,0.55261,3.0
"(4096, 1)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.05798432700864024,0.69674,3.0
"(128, 8)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.12098706276952563,0.33392,3.0
"(256, 4)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.1412538023146044,0.28601,3.0
"(512, 2)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.13800642208102754,0.29274,3.0
"(1024, 1)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.07188740013167494,0.56199,3.0
"(2048, 1)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.07068250607974526,0.57157,3.0
"(4096, 1)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.05925404438186591,0.68181,3.0
"(128, 8)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.11157755192222713,0.36208,3.0
"(256, 4)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.11708108734712805,0.34506,3.0
"(512, 2)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.1107668686425575,0.36473,3.0
"(1024, 1)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.058177210085969794,0.69443,3.0
"(2048, 1)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.05797517399727344,0.69685,3.0
"(4096, 1)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.046872099498793396,0.86192,3.0
"(0, nan)",sklearn,50.0,1.0,1000.0,100000.0,0.029992576095025984,1.347,4.0
"(0, nan)",sklearn,50.0,10.0,1000.0,100000.0,0.016901714854682906,2.39029,4.0
"(0, nan)",sklearn,50.0,100.0,1000.0,100000.0,0.016959327000172112,2.38217,4.0
"(0, nan)",daal4py,50.0,1.0,1000.0,100000.0,0.15885498584460525,0.25432,4.0
"(0, nan)",daal4py,50.0,10.0,1000.0,100000.0,0.155504234026174,0.2598,4.0
"(0, nan)",daal4py,50.0,100.0,1000.0,100000.0,0.12875262923067116,0.31378,4.0
"(128, 782)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.12537239324726912,0.32224,4.0
"(256, 391)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.14519317160826595,0.27825,4.0
"(512, 196)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.14235377026074703,0.2838,4.0
"(1024, 98)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.14254966303235597,0.28341,4.0
"(2048, 49)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.1333113347632404,0.30305,4.0
"(4096, 25)",Parallel on X_train,50.0,1.0,1000.0,100000.0,0.10317967054016089,0.39155,4.0
"(128, 782)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.12152934452365911,0.33243,4.0
"(256, 391)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.14112058124912674,0.28628,4.0
"(512, 196)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.13702347035680368,0.29484,4.0
"(1024, 98)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.1346576894873675,0.30002,4.0
"(2048, 49)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.12626578322290286,0.31996,4.0
"(4096, 25)",Parallel on X_train,50.0,10.0,1000.0,100000.0,0.10431459629734822,0.38729,4.0
"(128, 782)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.09644766997708175,0.41888,4.0
"(256, 391)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.10631858733124555,0.37999,4.0
"(512, 196)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.10313489226998876,0.39172,4.0
"(1024, 98)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.09901475417871673,0.40802,4.0
"(2048, 49)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.09807253483517019,0.41194,4.0
"(4096, 25)",Parallel on X_train,50.0,100.0,1000.0,100000.0,0.07704777343377515,0.52435,4.0
"(128, 8)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.12358897488451773,0.32689,4.0
"(256, 4)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.1401755664272579,0.28821,4.0
"(512, 2)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.13919514884233736,0.29024,4.0
"(1024, 1)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.07332655728183535,0.55096,4.0
"(2048, 1)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.07344920369427678,0.55004,4.0
"(4096, 1)",Parallel on X_test,50.0,1.0,1000.0,100000.0,0.06311119442621926,0.64014,4.0
"(128, 8)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.12700009430700074,0.31811,4.0
"(256, 4)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.14007836066710586,0.28841,4.0
"(512, 2)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.13551135410726864,0.29813,4.0
"(1024, 1)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.07280984735163193,0.55487,4.0
"(2048, 1)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.07279935129290926,0.55495,4.0
"(4096, 1)",Parallel on X_test,50.0,10.0,1000.0,100000.0,0.06309246794621523,0.64033,4.0
"(128, 8)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.11370352649798768,0.35531,4.0
"(256, 4)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.11805961426066629,0.3422,4.0
"(512, 2)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.11047306535411539,0.3657,4.0
"(1024, 1)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.05782746231911026,0.69863,4.0
"(2048, 1)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.05807351186625843,0.69567,4.0
"(4096, 1)",Parallel on X_test,50.0,100.0,1000.0,100000.0,0.04673978434911379,0.86436,4.0
"(0, nan)",sklearn,100.0,1.0,1000.0,100000.0,0.05312259616965043,1.52101,0.0
"(0, nan)",sklearn,100.0,10.0,1000.0,100000.0,0.032115743868993206,2.5159,0.0
"(0, nan)",sklearn,100.0,100.0,1000.0,100000.0,0.03176200509449983,2.54392,0.0
"(0, nan)",daal4py,100.0,1.0,1000.0,100000.0,0.18093062833087017,0.44658,0.0
"(0, nan)",daal4py,100.0,10.0,1000.0,100000.0,0.17934830862114892,0.45052,0.0
"(0, nan)",daal4py,100.0,100.0,1000.0,100000.0,0.16270968001772088,0.49659,0.0
"(128, 782)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.14158547697483703,0.57068,0.0
"(256, 391)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.15528308413729483,0.52034,0.0
"(512, 196)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.16659450320611946,0.48501,0.0
"(1024, 98)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.16732935719019218,0.48288,0.0
"(2048, 49)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.1540221120853984,0.5246,0.0
"(4096, 25)",Parallel on X_train,100.0,1.0,1000.0,100000.0,0.12655253966513696,0.63847,0.0
"(128, 782)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.14330306469920545,0.56384,0.0
"(256, 391)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.1642376567676891,0.49197,0.0
"(512, 196)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.16101711803272156,0.50181,0.0
"(1024, 98)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.16609793199851994,0.48646,0.0
"(2048, 49)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.14042649333495544,0.57539,0.0
"(4096, 25)",Parallel on X_train,100.0,10.0,1000.0,100000.0,0.12671528267858542,0.63765,0.0
"(128, 782)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.12741063121875837,0.63417,0.0
"(256, 391)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.14766351724263968,0.54719,0.0
"(512, 196)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.15499414935451072,0.52131,0.0
"(1024, 98)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.1593688362919132,0.507,0.0
"(2048, 49)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.14666908694862954,0.5509,0.0
"(4096, 25)",Parallel on X_train,100.0,100.0,1000.0,100000.0,0.12415488629379225,0.6508,0.0
"(128, 8)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.14799619019708404,0.54596,0.0
"(256, 4)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.1642176290063614,0.49203,0.0
"(512, 2)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.1642443337737575,0.49195,0.0
"(1024, 1)",Parallel on X_test,100.0,1.0,1000.0,100000.0,0.08649852267374643,0.93412,0.0
